data,confirmacao,sobre_cons_jogos,jogar_infl,horas_jogo,horas_grad,jogar_atrap_acad,ambiente_nocivo,alvo_nocivo,comp_nocivo_afetou,jogo_afetou_sono
28/11/2022 13:58:43,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Concordo,Entre 5 e 10 horas semanais,Entre 21 e 30 horas semanais,Concordo totalmente,Moderadamente nocivo,Sim,5,Raramente/Nunca
28/11/2022 14:01:13,Concordo e desejo continuar,Jogava com frequência antes de ingressar no curso e continuo jogando após o ingresso,Discordo totalmente,Entre 0 e 4 horas semanais,Entre 11 e 20 horas semanais,Não concordo nem discordo,Um pouco nocivo,Não,,Frequentemente
28/11/2022 14:02:45,Concordo e desejo continuar,Jogava com frequência antes de ingressar no curso e continuo jogando após o ingresso,Concordo totalmente,Entre 5 e 10 horas semanais,Entre 21 e 30 horas semanais,Discordo,Um pouco nocivo,Sim,3,Ocasionalmente
28/11/2022 14:03:00,Concordo e desejo continuar,Não jogava antes de ingressar no curso e continuo sem jogar,,,,,,,,
28/11/2022 15:24:41,Concordo e desejo continuar,Jogava com frequência antes de ingressar no curso e continuo jogando após o ingresso,Discordo,Entre 5 e 10 horas semanais,Entre 5 e 10 horas semanais,Discordo,Muito nocivo,Sim,3,Ocasionalmente
28/11/2022 16:38:19,Concordo e desejo continuar,Não jogava antes de ingressar no curso e continuo sem jogar,,,,,,,,
28/11/2022 16:38:36,Concordo e desejo continuar,Jogava com frequência antes de ingressar no curso e continuo jogando após o ingresso,Discordo totalmente,Entre 0 e 4 horas semanais,Entre 21 e 30 horas semanais,Concordo,Neutro,Sim,1,Ocasionalmente
28/11/2022 16:40:51,Concordo e desejo continuar,Não jogava antes de ingressar no curso e continuo sem jogar,,,,,,,,
28/11/2022 17:04:59,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Discordo,Entre 0 e 4 horas semanais,Mais de 30 horas semanais,Discordo,Moderadamente nocivo,Sim,4,Raramente/Nunca
28/11/2022 17:42:30,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Não concordo nem discordo,Entre 5 e 10 horas semanais,Entre 11 e 20 horas semanais,Discordo,Moderadamente nocivo,Sim,1,Raramente/Nunca
29/11/2022 12:28:57,Concordo e desejo continuar,Jogava com frequência antes de ingressar no curso e continuo jogando após o ingresso,Discordo,Entre 5 e 10 horas semanais,Entre 5 e 10 horas semanais,Discordo,Moderadamente nocivo,Não,,Ocasionalmente
29/11/2022 14:37:00,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Concordo,Entre 0 e 4 horas semanais,Entre 5 e 10 horas semanais,Discordo,Neutro,Sim,2,Raramente/Nunca
29/11/2022 14:38:14,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Concordo totalmente,Entre 0 e 4 horas semanais,Entre 11 e 20 horas semanais,Concordo totalmente,Moderadamente nocivo,Sim,5,Muito frequentemente/ sempre
29/11/2022 14:39:54,Concordo e desejo continuar,Jogava com frequência antes de ingressar no curso e continuo jogando após o ingresso,Concordo totalmente,Entre 5 e 10 horas semanais,Entre 0 e 4 horas semanais,Discordo totalmente,Não nocivo,Sim,1,Frequentemente
29/11/2022 14:44:09,Concordo e desejo continuar,Jogava com frequência antes de ingressar no curso e continuo jogando após o ingresso,Não concordo nem discordo,Entre 11 e 20 horas semanais,Entre 21 e 30 horas semanais,Discordo,Moderadamente nocivo,Sim,1,Neutro
29/11/2022 15:21:00,Concordo e desejo continuar,Não jogava antes de ingressar no curso e continuo sem jogar,,,,,,,,
29/11/2022 23:08:07,Concordo e desejo continuar,Jogava com frequência antes de ingressar no curso e continuo jogando após o ingresso,Discordo totalmente,Entre 0 e 4 horas semanais,Entre 21 e 30 horas semanais,Discordo,Um pouco nocivo,Não,1,Ocasionalmente
30/11/2022 10:54:28,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Não concordo nem discordo,Entre 5 e 10 horas semanais,Entre 11 e 20 horas semanais,Concordo,Muito nocivo,Sim,4,Ocasionalmente
30/11/2022 21:47:48,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Concordo,Entre 0 e 4 horas semanais,Entre 11 e 20 horas semanais,Não concordo nem discordo,Um pouco nocivo,Sim,3,Ocasionalmente
01/12/2022 20:29:50,Concordo e desejo continuar,"Jogava com frequência, mas parei/reduzi a frequência após ingressar no curso",Não concordo nem discordo,Entre 0 e 4 horas semanais,Entre 11 e 20 horas semanais,Concordo,Moderadamente nocivo,Sim,2,Frequentemente
